ID	FUNCTION	INPUT	OUTPUT
1	Trigonometry	 sin^2(x) + cos^2(x)	1
2	Trigonometry	 tan^2(x) + cot^2(x)	1
3	Trigonometry	 sec^2(x) + cosec^2(x)	1
4	Trigonometry	 sin^2(x)	 1 − cos^2(x)
5	Trigonometry	 cos^2(X)	 1 - sin^2(X)
6	Trigonometry	 sec^2(x)	 1 - cosec^2(X)
7	Trigonometry	 cosec^2(x)	 1 - sec^2(x)
8	Trigonometry	 tan^2(X)	 1 - cot^2(x)
9	Trigonometry	 cot^2(x)	 1 - tan^2(x)
10	Trigonometry	 sin(−x)	 −sin(x)
11	Trigonometry	 cos(−x)	 cos(x)
12	Trigonometry	 tan(−x)	 −tan(x)
13	Trigonometry	 cot(-x)	 -cot(x)
14	Trigonometry	 sec(-x)	 sec(x)
15	Trigonometry	 cosec(-x)	 -cosec(x)
16	Trigonometry	 -cosec(x)	 cosec(-x)
17	Trigonometry	 -tan(X)	 tan(-x)
18	Trigonometry	 -cot(x)	 cot(-x)
19	Trigonometry	 -sin(x)	 sin(-x)
20	Trigonometry	 tan(x)	 sin(x)/cos(x)
21	Trigonometry	 cot(x)	 cos(x)/sin(x)
22	Trigonometry	 sin(2x)	 2sin(x)cos(x)
23	Trigonometry	 2sin(X)cos(x)	 2tan(X)/(1 + tan^2(x))
24	Trigonometry	 2tan(X)/(1 + tan^2(x))	 2sin(x)cos(x)
25	Trigonometry	 2sin(x)cos(x)	 sin(2x)
26	Trigonometry	 cos(2x)	 cos^2(x) - sin^2(x)
27	Trigonometry	 cos^2(x) - sin^2(x)	 2cos^2(x) - 1
28	Trigonometry	 2cos^2(x) - 1	 1 - 2sin^2(x)
29	Trigonometry	 1 - 2sin^2(x)	 (1 - tan^2(x))/(1 + tan^2(x))
30	Trigonometry	 (1 - tan^2(x))/(1 + tan^2(x))	 1 - 2sin^2(x)
31	Trigonometry	 tan^2(x)	 2tan(X)/(1 - tan^2(x))
32	Trigonometry	 2tan(X)/(1 - tan^2(x))	 tan^2(x)
33	Trigonometry	 sin(x/2)	 +- sqrt((1-cos(x))/2)
34	Trigonometry	 sqrt((1-cos(x))/2)	 sin(x/2)
35	Trigonometry	 -sqrt((1-cos(x))/2)	 sin(x/2)
36	Trigonometry	 cos(x/2)	 +- sqrt((1 + cos(x))/2)
37	Trigonometry	 sqrt((1 + cos(x))/2)	 cos(x/2)
38	Trigonometry	 sqrt((1 + cos(x))/2)	 cos(x/2)
39	Trigonometry	 tan(x/2)	 cosec(x) - cot(x)
40	Trigonometry	 cosec(x) - cot(x)	 (1 - cos(x))/sin(x)
41	Trigonometry	 (1 - cos(x))/sin(x)	 sin(x)/(1 + cos(x))
